,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,nutrient_name,unit_name
276,1109796,branded_food,"BAR, CHOCOLATE COCONUT CASHEW",,2020-11-13,The Daily Record,,,838766080338,"COMPLETE PROTEIN BLEND (ORGANIC SPROUTED WHOLE GRAIN BROWN RICE PROTEIN, PEA PROTEIN), ORGANIC BROWN RICE SYRUP, ORGANIC CANE SUGAR, ORGANIC TAPIOCA SYRUP, PALM KERNEL OIL, BROWN RICE CRISPS (WHOLE GRAIN BROWN RICE FLOUR, CALCIUM CARBONATE), ORGANIC DATES, ORGANIC CASHEWS, COCOA POWDER (PROCESSED WITH ALKALI), ORGANIC AGAVE SYRUP, VEGA BLEND (VITAMINS & MINERALS: POTASSIUM PHOSPHATE, CALCIUM PHOSPHATE, MAGNESIUM OXIDE, FERRIC PYROPHOSPHATE, CALCIUM ASCORBATE, ZINC CITRATE, POTASSIUM IODIDE, MOLYBDENUM CITRATE, VITAMIN A PALMINATE, NIACIN, VITAMIN E, COPPER CITRATE, SELENIUM CITRATE, MANGANESE CITRATE, BIOTIN, CALCIUM PANTOTHENATE, THIAMINE HCL, RIBOFLAVIN, VITAMIN B6, VITAMIN B12, CHROMIUM CITRATE, VITAMIN D2, FOLATE, GREENS: ALFALFA GRASS, SPINACH, BROCCOLI, KALE, BERRIES: EXTRACTS OF GRAPE SEED, MAQUI BERRY, GOJI JUICE, ACAI BERRY, POMEGRANATE SEED, MANGOSTEEN, PROBIOTICS: L.ACIDOPHILUS LA-14, B.BIFIDUM BB-06), DRIED COCONUT, VEGA SAVISEED (SACHA INCHI) OIL, UNSWEETENED CHOCOLATE, BUCKWHEAT, INULIN (FROM CHICORY ROOT). CONTAINS 2 PERCENT OR LESS OF: CHIA SEEDS, HEMP SEEDS, ORGANIC VANILLA EXTRACT, NATURAL COCONUT FLAVOR, NATURAL VANILLA FLAVOR, SEA SALT, SUNFLOWER LECITHIN. +KALE, BROCCOLI, ALFALFA, SPINACH.",,64.0,g,,En. tyčinky,LI,,2020-09-19,2020-11-13,United States,,,,,1004,17.19,,70.0,,,,,,,Lipid (tuk),G
277,1109796,branded_food,"BAR, CHOCOLATE COCONUT CASHEW",,2020-11-13,The Daily Record,,,838766080338,"COMPLETE PROTEIN BLEND (ORGANIC SPROUTED WHOLE GRAIN BROWN RICE PROTEIN, PEA PROTEIN), ORGANIC BROWN RICE SYRUP, ORGANIC CANE SUGAR, ORGANIC TAPIOCA SYRUP, PALM KERNEL OIL, BROWN RICE CRISPS (WHOLE GRAIN BROWN RICE FLOUR, CALCIUM CARBONATE), ORGANIC DATES, ORGANIC CASHEWS, COCOA POWDER (PROCESSED WITH ALKALI), ORGANIC AGAVE SYRUP, VEGA BLEND (VITAMINS & MINERALS: POTASSIUM PHOSPHATE, CALCIUM PHOSPHATE, MAGNESIUM OXIDE, FERRIC PYROPHOSPHATE, CALCIUM ASCORBATE, ZINC CITRATE, POTASSIUM IODIDE, MOLYBDENUM CITRATE, VITAMIN A PALMINATE, NIACIN, VITAMIN E, COPPER CITRATE, SELENIUM CITRATE, MANGANESE CITRATE, BIOTIN, CALCIUM PANTOTHENATE, THIAMINE HCL, RIBOFLAVIN, VITAMIN B6, VITAMIN B12, CHROMIUM CITRATE, VITAMIN D2, FOLATE, GREENS: ALFALFA GRASS, SPINACH, BROCCOLI, KALE, BERRIES: EXTRACTS OF GRAPE SEED, MAQUI BERRY, GOJI JUICE, ACAI BERRY, POMEGRANATE SEED, MANGOSTEEN, PROBIOTICS: L.ACIDOPHILUS LA-14, B.BIFIDUM BB-06), DRIED COCONUT, VEGA SAVISEED (SACHA INCHI) OIL, UNSWEETENED CHOCOLATE, BUCKWHEAT, INULIN (FROM CHICORY ROOT). CONTAINS 2 PERCENT OR LESS OF: CHIA SEEDS, HEMP SEEDS, ORGANIC VANILLA EXTRACT, NATURAL COCONUT FLAVOR, NATURAL VANILLA FLAVOR, SEA SALT, SUNFLOWER LECITHIN. +KALE, BROCCOLI, ALFALFA, SPINACH.",,64.0,g,,En. tyčinky,LI,,2020-09-19,2020-11-13,United States,,,,,1003,18.75,,70.0,,,,,,,Protein,G
661,1115099,branded_food,"RASPBERRY PERFORMANCE ENERGY BLASTS GEL FILLED CHEWS, RASPBERRY",,2020-11-13,Premier Nutrition Corporation,,,97421130300,"DUAL SOURCE ENERGY BLEND (SUGAR, GLUCOSE SYRUP FROM WHEAT, INVERT SUGAR), WATER, GELATIN, AND LESS THAN 2% OF: GLYCERIN, CITRIC ACID, TARTARIC ACID, MALIC ACID, RASPBERRY PUREE, RASPBERRY JUICE CONCENTRATE, COCONUT AND/OR PALM KERNEL OIL, SODIUM ASCORBATE (VITAMIN C), BLACK CARROT JUICE CONCENTRATE (COLOR), NATURAL FLAVOR, CARNUBA WAX.",,60.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1004,0.0,,75.0,,,,,,,Lipid (tuk),G
662,1115099,branded_food,"RASPBERRY PERFORMANCE ENERGY BLASTS GEL FILLED CHEWS, RASPBERRY",,2020-11-13,Premier Nutrition Corporation,,,97421130300,"DUAL SOURCE ENERGY BLEND (SUGAR, GLUCOSE SYRUP FROM WHEAT, INVERT SUGAR), WATER, GELATIN, AND LESS THAN 2% OF: GLYCERIN, CITRIC ACID, TARTARIC ACID, MALIC ACID, RASPBERRY PUREE, RASPBERRY JUICE CONCENTRATE, COCONUT AND/OR PALM KERNEL OIL, SODIUM ASCORBATE (VITAMIN C), BLACK CARROT JUICE CONCENTRATE (COLOR), NATURAL FLAVOR, CARNUBA WAX.",,60.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1003,5.0,,70.0,,,,,,,Protein,G
945,1118768,branded_food,"VANILLA PECAN CRISP BAR, VANILLA PECAN",,2020-11-13,"Atkins Nutritionals, Inc.",,,637480054010,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTEIN CONCENTRATE, MILK PROTEIN ISOLATE, WHEY PROTEIN ISOLATE), SOLUBLE CORNFIBER, POLYDEXTROSE, VEGETABLE GLYCERIN, PALM KERNEL OIL, PECANS, ALMOND BUTTER, COCONUT OIL, SUNFLOWER OIL, WHEY POWDER, RICE STARCH, CONTAINS LESS THAN 2% OF: RICE FLOUR, NATURAL FLAVOR, SALT, MIXED TOCOPHEROLS (TO MAINTAIN FRESHNESS), SOY LECITHIN, SUCRALOSE.",,48.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1004,20.83,,70.0,,,,,,,Lipid (tuk),G
946,1118768,branded_food,"VANILLA PECAN CRISP BAR, VANILLA PECAN",,2020-11-13,"Atkins Nutritionals, Inc.",,,637480054010,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTEIN CONCENTRATE, MILK PROTEIN ISOLATE, WHEY PROTEIN ISOLATE), SOLUBLE CORNFIBER, POLYDEXTROSE, VEGETABLE GLYCERIN, PALM KERNEL OIL, PECANS, ALMOND BUTTER, COCONUT OIL, SUNFLOWER OIL, WHEY POWDER, RICE STARCH, CONTAINS LESS THAN 2% OF: RICE FLOUR, NATURAL FLAVOR, SALT, MIXED TOCOPHEROLS (TO MAINTAIN FRESHNESS), SOY LECITHIN, SUCRALOSE.",,48.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1003,33.33,,70.0,,,,,,,Protein,G
958,1118810,branded_food,"OATS & HONEY CRUNCHY GRANOLA BARS, OATS & HONEY",,2020-11-13,"Schnuck Markets, Inc.",,,41318292312,"ROLLED OATS, SUGAR, HIGH OLEIC CANOLA OIL, RICE FLOUR, HONEY, DARK REFINERS SYRUP, SALT, SOY LECITHIN, NATURAL FLAVOR, BAKING SODA.",,42.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1004,14.29,,70.0,,,,,,,Lipid (tuk),G
959,1118810,branded_food,"OATS & HONEY CRUNCHY GRANOLA BARS, OATS & HONEY",,2020-11-13,"Schnuck Markets, Inc.",,,41318292312,"ROLLED OATS, SUGAR, HIGH OLEIC CANOLA OIL, RICE FLOUR, HONEY, DARK REFINERS SYRUP, SALT, SOY LECITHIN, NATURAL FLAVOR, BAKING SODA.",,42.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1003,9.52,,70.0,,,,,,,Protein,G
1479,1126921,branded_food,"TART CHERRY CASHEW PLANT BASED PROTEIN SUPERFOOD BAR, TART CHERRY, CASHEW",,2020-11-13,FREAKIN' HEALTHY,,,6291107890616,INGREDIENTS (ALLERGENS IN BOLD) - CASHEWS PEA PROTEIN TART CHERRY HAZELNUTS DATES COCOA BUTTER COCONUT COCONUT OIL HIMALAYAN PINK SALT VANILLA BEAN POWDER,,40.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1004,30.0,,70.0,,,,,,,Lipid (tuk),G
1480,1126921,branded_food,"TART CHERRY CASHEW PLANT BASED PROTEIN SUPERFOOD BAR, TART CHERRY, CASHEW",,2020-11-13,FREAKIN' HEALTHY,,,6291107890616,INGREDIENTS (ALLERGENS IN BOLD) - CASHEWS PEA PROTEIN TART CHERRY HAZELNUTS DATES COCOA BUTTER COCONUT COCONUT OIL HIMALAYAN PINK SALT VANILLA BEAN POWDER,,40.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1003,20.0,,70.0,,,,,,,Protein,G
